tauv,cf3hr,surface_downward_northward_stress,Surface Downward Northward Wind Stress,0&,0&1&14&,time: point,
hfls,cf3hr,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,6&2&,0&1&14&,time: point,
hfss,cf3hr,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,6&2&,0&1&14&,time: point,
rlds,cf3hr,surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,6&2&,0&1&14&,time: point,
rlus,cf3hr,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,6&2&,0&1&14&,time: point,
rsds,cf3hr,surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,6&2&,0&1&14&,time: point,
rsus,cf3hr,surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave Radiation,6&2&,0&1&14&,time: point,
rsdscs,cf3hr,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Shortwave Radiation,6&2&,0&1&14&,time: point,
rsuscs,cf3hr,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Upwelling Clear-Sky Shortwave Radiation,6&2&,0&1&14&,time: point,
rldscs,cf3hr,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Longwave Radiation,6&2&,0&1&14&,time: point,
rsdt,cf3hr,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,6&2&,0&1&14&,time: point,
rsut,cf3hr,toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation,6&2&,0&1&14&,time: point,
rlut,cf3hr,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,6&2&,0&1&14&,time: point,
rlutcs,cf3hr,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation,6&2&,0&1&14&,time: point,
rsutcs,cf3hr,toa_outgoing_shortwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Shortwave Radiation,6&2&,0&1&14&,time: point,
prw,cf3hr,atmosphere_water_vapor_content,Water Vapor Path,1&2&,0&1&14&,time: point,
clt,cf3hr,cloud_area_fraction,Total Cloud Fraction,7&,0&1&14&,time: point,
clwvi,cf3hr,atmosphere_cloud_condensed_water_content,Condensed Water Path,1&2&,0&1&14&,time: point,
